Timestamp,Level,day_of_week,hour_of_day,month_of_year,year,Rain
2023-03-21 17:00:00,2.688333333333333,1,17,3,2023,0.0
2023-03-21 18:00:00,2.8016666666666663,1,18,3,2023,0.0
2023-03-21 19:00:00,2.9166666666666665,1,19,3,2023,0.0
2023-03-21 20:00:00,2.9483333333333337,1,20,3,2023,0.0
2023-03-21 21:00:00,3.135,1,21,3,2023,0.0
2023-03-21 22:00:00,2.9599999999999995,1,22,3,2023,0.0
2023-03-21 23:00:00,2.793333333333333,1,23,3,2023,0.0
2023-03-22 00:00:00,2.595,2,0,3,2023,0.0
2023-03-22 01:00:00,2.6983333333333337,2,1,3,2023,0.0
2023-03-22 02:00:00,2.355,2,2,3,2023,0.0
2023-03-22 03:00:00,2.31,2,3,3,2023,0.0
2023-03-22 04:00:00,2.23,2,4,3,2023,0.0
2023-03-22 05:00:00,2.19,2,5,3,2023,0.0
2023-03-22 06:00:00,2.408333333333333,2,6,3,2023,0.0
2023-03-22 07:00:00,2.8233333333333337,2,7,3,2023,0.0
2023-03-22 08:00:00,2.76,2,8,3,2023,0.0
2023-03-22 09:00:00,2.588,2,9,3,2023,0.0
2023-03-22 10:00:00,2.9499999999999997,2,10,3,2023,0.0
2023-03-22 11:00:00,2.7516666666666665,2,11,3,2023,0.0
2023-03-22 12:00:00,2.7916666666666665,2,12,3,2023,0.0
2023-03-22 13:00:00,3.0849999999999995,2,13,3,2023,0.0
2023-03-22 14:00:00,3.02,2,14,3,2023,0.0
2023-03-22 15:00:00,2.813333333333333,2,15,3,2023,0.0
2023-03-22 16:00:00,3.2099999999999995,2,16,3,2023,0.0
2023-03-22 17:00:00,2.75,2,17,3,2023,0.0
2023-03-22 18:00:00,2.7099999999999995,2,18,3,2023,0.0
2023-03-22 19:00:00,2.8249999999999997,2,19,3,2023,0.0
2023-03-22 20:00:00,3.0316666666666667,2,20,3,2023,0.0
2023-03-22 21:00:00,3.115,2,21,3,2023,0.0
2023-03-22 22:00:00,2.875,2,22,3,2023,0.0
2023-03-22 23:00:00,2.7616666666666667,2,23,3,2023,0.0
2023-03-23 00:00:00,2.5433333333333334,3,0,3,2023,0.0
2023-03-23 01:00:00,2.44,3,1,3,2023,0.0
2023-03-23 02:00:00,2.416,3,2,3,2023,0.0
2023-03-23 03:00:00,2.2399999999999998,3,3,3,2023,0.0
2023-03-23 04:00:00,2.2399999999999998,3,4,3,2023,0.0
2023-03-23 05:00:00,2.226,3,5,3,2023,0.0
2023-03-23 06:00:00,2.48,3,6,3,2023,0.0
2023-03-23 07:00:00,2.856666666666667,3,7,3,2023,0.0
2023-03-23 08:00:00,2.885,3,8,3,2023,0.0
2023-03-23 09:00:00,2.7183333333333333,3,9,3,2023,0.0
2023-03-23 10:00:00,2.7616666666666667,3,10,3,2023,0.0
2023-03-23 11:00:00,2.8475,3,11,3,2023,0.0
2023-03-23 12:00:00,2.688333333333333,3,12,3,2023,0.0
2023-03-23 13:00:00,2.918333333333333,3,13,3,2023,0.0
2023-03-23 14:00:00,2.8016666666666663,3,14,3,2023,0.0
2023-03-23 15:00:00,2.925,3,15,3,2023,0.0
2023-03-23 16:00:00,3.1740000000000004,3,16,3,2023,0.0
2023-03-23 17:00:00,2.606666666666667,3,17,3,2023,0.0
2023-03-23 18:00:00,2.655,3,18,3,2023,0.0
2023-03-23 19:00:00,2.94,3,19,3,2023,0.0
2023-03-23 20:00:00,2.811666666666667,3,20,3,2023,0.0
2023-03-23 21:00:00,3.0620000000000003,3,21,3,2023,0.0
2023-03-23 22:00:00,2.98,3,22,3,2023,0.0
2023-03-23 23:00:00,2.69,3,23,3,2023,0.0
2023-03-24 00:00:00,2.668333333333333,4,0,3,2023,0.0
2023-03-24 01:00:00,2.5316666666666667,4,1,3,2023,0.0
2023-03-24 02:00:00,2.355,4,2,3,2023,0.0
2023-03-24 03:00:00,2.18,4,3,3,2023,0.0
2023-03-24 04:00:00,2.18,4,4,3,2023,0.0
2023-03-24 05:00:00,2.19,4,5,3,2023,0.0
2023-03-24 06:00:00,2.3633333333333333,4,6,3,2023,0.0
2023-03-24 07:00:00,2.855,4,7,3,2023,0.0
2023-03-24 08:00:00,2.9299999999999997,4,8,3,2023,0.0
2023-03-24 09:00:00,2.6999999999999997,4,9,3,2023,0.0
2023-03-24 10:00:00,2.6599999999999997,4,10,3,2023,0.0
2023-03-24 11:00:00,2.7116666666666664,4,11,3,2023,0.0
2023-03-24 12:00:00,3.158333333333333,4,12,3,2023,0.0
2023-03-24 13:00:00,3.0,4,13,3,2023,0.02
2023-03-24 14:00:00,2.9599999999999995,4,14,3,2023,0.04
2023-03-24 15:00:00,2.936666666666667,4,15,3,2023,0.0
2023-03-24 16:00:00,2.811666666666667,4,16,3,2023,0.0
2023-03-24 17:00:00,2.6783333333333332,4,17,3,2023,0.0
2023-03-24 18:00:00,2.7516666666666665,4,18,3,2023,0.0
2023-03-24 19:00:00,2.9066666666666667,4,19,3,2023,0.0
2023-03-24 20:00:00,2.9933333333333336,4,20,3,2023,0.0
2023-03-24 21:00:00,2.98,4,21,3,2023,0.0
2023-03-24 22:00:00,2.856666666666667,4,22,3,2023,0.0
2023-03-24 23:00:00,2.865,4,23,3,2023,0.0
2023-03-25 00:00:00,2.7016666666666667,5,0,3,2023,0.0
2023-03-25 01:00:00,2.52,5,1,3,2023,0.0
2023-03-25 02:00:00,2.526,5,2,3,2023,0.0
2023-03-25 03:00:00,2.39,5,3,3,2023,0.0
2023-03-25 04:00:00,2.4499999999999997,5,4,3,2023,0.0
2023-03-25 05:00:00,2.4,5,5,3,2023,0.0
2023-03-25 06:00:00,2.4,5,6,3,2023,0.0
2023-03-25 07:00:00,2.5,5,7,3,2023,0.0
2023-03-25 08:00:00,2.783333333333333,5,8,3,2023,0.0
2023-03-25 09:00:00,3.0780000000000003,5,9,3,2023,0.0
2023-03-25 10:00:00,2.7733333333333334,5,10,3,2023,0.0
2023-03-25 11:00:00,2.938333333333333,5,11,3,2023,0.0
2023-03-25 12:00:00,2.9516666666666667,5,12,3,2023,0.0
2023-03-25 13:00:00,2.8,5,13,3,2023,0.0
2023-03-25 14:00:00,2.76,5,14,3,2023,0.0
2023-03-25 15:00:00,2.8275,5,15,3,2023,0.0
2023-03-25 16:00:00,2.625,5,16,3,2023,0.0
